reg_no,di_count,outlier_type,di,device_record_key,version_time
国械注许20233160006,222,B,04719897436019,047198974360192025081903463121,2025-08-20
国械注许20233160006,222,B,04719897436026,04719897436026202508190346316,2025-08-20
国械注许20233160006,222,B,04719897436033,047198974360332025081903463122,2025-08-20
国械注许20233160006,222,B,04719897436040,047198974360402025081903463137,2025-08-20
国械注许20233160006,222,B,04719897436057,047198974360572025081903463111,2025-08-20
国械注许20233160006,222,B,04719897436064,047198974360642025081903463112,2025-08-20
国械注许20233160006,222,B,04719897436071,047198974360712025081903463133,2025-08-20
国械注许20233160006,222,B,04719897436088,04719897436088202508190346312,2025-08-20
国械注准20213160200,216,B,06942416376727,06942416376727202508200216321,2025-08-21
国械注准20213160200,216,B,06942416376734,06942416376734202508200216322,2025-08-21
国械注准20213160200,216,B,06942416376741,06942416376741202508200216323,2025-08-21
国械注准20213160200,216,B,06942416376758,06942416376758202508200216324,2025-08-21
国械注准20213160200,216,B,06942416376765,06942416376765202508200216325,2025-08-21
国械注准20213160200,216,B,06942416376772,06942416376772202508200216326,2025-08-21
国械注准20213160200,216,B,06942416376789,06942416376789202508200216327,2025-08-21
国械注准20213160200,216,B,06942416376796,06942416376796202508200216328,2025-08-21
国械注准20213160200,216,B,06942416376802,06942416376802202508200216329,2025-08-21
国械注准20213160200,216,B,06942416376819,069424163768192025082002163210,2025-08-21
国械注进20143165007,202,B,08809898951157,088098989511572025082004431672,2025-08-21
国械注进20143165007,202,B,08809898951164,088098989511642025082004431673,2025-08-21
国械注进20143165007,202,B,08809898951171,088098989511712025082004431674,2025-08-21
国械注进20143165007,202,B,08809898951188,088098989511882025082004431687,2025-08-21
国械注进20143165007,202,B,08809898951195,088098989511952025082004431675,2025-08-21
国械注进20143165007,202,B,08809898951201,088098989512012025082004431676,2025-08-21
国械注进20143165007,202,B,08809898951218,088098989512182025082004431677,2025-08-21
国械注进20143165007,202,B,08809898951225,088098989512252025082004431678,2025-08-21
国械注进20143165007,202,B,08809898951232,088098989512322025082004431679,2025-08-21
国械注进20143165007,202,B,08809898951249,088098989512492025082004431680,2025-08-21
沪械注准20212040566,196,C,06936844620088,06936844620088202508260143211,2025-08-27
沪械注准20212040566,196,C,06936844620095,06936844620095202508260143212,2025-08-27
沪械注准20212040566,196,C,06936844620101,06936844620101202508260143213,2025-08-27
沪械注准20212040566,196,C,06936844620118,06936844620118202508260143214,2025-08-27
沪械注准20212040566,196,C,06936844620125,06936844620125202508260143215,2025-08-27
沪械注准20212040566,196,C,06936844620132,06936844620132202508260143216,2025-08-27
沪械注准20212040566,196,C,06936844620149,06936844620149202508260143217,2025-08-27
沪械注准20212040566,196,C,06936844620156,06936844620156202508260143218,2025-08-27
沪械注准20212040566,196,C,06936844620163,06936844620163202508260143219,2025-08-27
沪械注准20212040566,196,C,06936844620170,069368446201702025082601432110,2025-08-27
国械注准20253220412,157,C,16977201141034,16977201141034202508260512591,2025-09-19
国械注准20253220412,157,C,16977201141041,16977201141041202508260512592,2025-09-19
国械注准20253220412,157,C,16977201141058,16977201141058202508260512593,2025-09-19
国械注准20253220412,157,C,16977201141065,16977201141065202508260512594,2025-09-19
国械注准20253220412,157,C,16977201141072,16977201141072202508260512595,2025-09-19
国械注准20253220412,157,C,16977201141089,16977201141089202508260512596,2025-09-19
国械注准20253220412,157,C,16977201141096,16977201141096202508260512597,2025-09-19
国械注准20253220412,157,C,16977201141102,16977201141102202508260512598,2025-09-19
国械注准20253220412,157,C,16977201141119,16977201141119202508260512599,2025-09-19
国械注准20253220412,157,C,16977201141126,169772011411262025082605125910,2025-09-19
国械注许20213160012,148,C,04719960101851,047199601018512025082005300627,2025-08-21
国械注许20213160012,148,C,04719960101868,047199601018682025082005300628,2025-08-21
国械注许20213160012,148,C,04719960101875,047199601018752025082005300629,2025-08-21
国械注许20213160012,148,C,04719960101882,047199601018822025082005300630,2025-08-21
国械注许20213160012,148,C,04719960101899,047199601018992025082005300631,2025-08-21
国械注许20213160012,148,C,04719960101905,047199601019052025082005300632,2025-08-21
国械注许20213160012,148,C,04719960101912,047199601019122025082005300633,2025-08-21
国械注许20213160012,148,C,04719960101929,047199601019292025082005300634,2025-08-21
国械注许20213160012,148,C,04719960101936,047199601019362025082005300635,2025-08-21
国械注许20213160012,148,C,04719960101943,047199601019432025082005300636,2025-08-21
国械注准20213160189,144,C,06942416378646,06942416378646202508200215561,2025-08-21
国械注准20213160189,144,C,06942416378653,06942416378653202508200215562,2025-08-21
国械注准20213160189,144,C,06942416378660,06942416378660202508200215563,2025-08-21
国械注准20213160189,144,C,06942416378677,06942416378677202508200215564,2025-08-21
国械注准20213160189,144,C,06942416378684,06942416378684202508200215565,2025-08-21
国械注准20213160189,144,C,06942416378691,06942416378691202508200215566,2025-08-21
国械注准20213160189,144,C,06942416378707,06942416378707202508200215567,2025-08-21
国械注准20213160189,144,C,06942416378714,06942416378714202508200215568,2025-08-21
国械注准20213160189,144,C,06942416378721,06942416378721202508200215569,2025-08-21
国械注准20213160189,144,C,06942416378738,069424163787382025082002155610,2025-08-21
国械注准20213160236,128,C,06942416379360,06942416379360202508200215361,2025-08-21
国械注准20213160236,128,C,06942416379377,06942416379377202508200215362,2025-08-21
国械注准20213160236,128,C,06942416379384,06942416379384202508200215363,2025-08-21
国械注准20213160236,128,C,06942416379391,06942416379391202508200215364,2025-08-21
国械注准20213160236,128,C,06942416379407,06942416379407202508200215365,2025-08-21
国械注准20213160236,128,C,06942416379414,06942416379414202508200215366,2025-08-21
国械注准20213160236,128,C,06942416379421,06942416379421202508200215367,2025-08-21
国械注准20213160236,128,C,06942416379438,06942416379438202508200215368,2025-08-21
国械注准20213160236,128,C,06942416379445,06942416379445202508200215369,2025-08-21
国械注准20213160236,128,C,06942416379452,069424163794522025082002153610,2025-08-21
国械注进20203160220,120,C,08800322186473,08800322186473202508200854571,2025-09-02
国械注进20203160220,120,C,08800322186480,08800322186480202508200854572,2025-09-02
国械注进20203160220,120,C,08800322186497,08800322186497202508200854573,2025-09-02
国械注进20203160220,120,C,08800322186503,08800322186503202508200854574,2025-09-02
国械注进20203160220,120,C,08800322186510,08800322186510202508200854575,2025-09-02
国械注进20203160220,120,C,08800322186527,08800322186527202508200854576,2025-09-02
